industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"가구 제조업","C32","2020","5~10","YEARS4","여","2",1338.0
"가구 제조업","C32","2020","10~","YEARS5","여","2",936.0
"기타 제품 제조업","C33","2020","~1","YEARS1","남","1",3170.0
"기타 제품 제조업","C33","2020","1~3","YEARS2","남","1",6291.0
"기타 제품 제조업","C33","2020","3~5","YEARS3","남","1",3624.0
"기타 제품 제조업","C33","2020","5~10","YEARS4","남","1",2955.0
"기타 제품 제조업","C33","2020","10~","YEARS5","남","1",5138.0
"기타 제품 제조업","C33","2020","~1","YEARS1","여","2",3112.0
"기타 제품 제조업","C33","2020","1~3","YEARS2","여","2",4326.0
"기타 제품 제조업","C33","2020","3~5","YEARS3","여","2",1767.0
"기타 제품 제조업","C33","2020","5~10","YEARS4","여","2",2905.0
"기타 제품 제조업","C33","2020","10~","YEARS5","여","2",2009.0
None,"C34","2020","~1","YEARS1","남","1",2898.0
None,"C34","2020","1~3","YEARS2","남","1",7113.0
None,"C34","2020","3~5","YEARS3","남","1",4206.0
None,"C34","2020","5~10","YEARS4","남","1",4510.0
None,"C34","2020","10~","YEARS5","남","1",6385.0
None,"C34","2020","~1","YEARS1","여","2",196.0
None,"C34","2020","1~3","YEARS2","여","2",580.0
None,"C34","2020","3~5","YEARS3","여","2",273.0
